                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8225,                 5.2812,                 1.2608,                0.00333,                      1,                0.26931,                0.25096,                0.51613,                 3.4685,                0.81329,             0.00031673,             0.00031673,             0.00031673
                      2,                 1.4599,                 3.9494,                 1.1722,                0.00333,                      1,                0.65933,                0.38712,                0.69611,                  3.413,                0.84745,             0.00063726,             0.00063726,             0.00063726
                      3,                 1.2146,                 3.4686,                 1.1051,                0.00336,                      1,                 0.7093,                0.39844,                0.58417,                 3.6027,                0.84142,             0.00094458,             0.00094458,             0.00094458
                      4,                 1.2317,                  2.838,                 1.0842,                0.54853,                0.52842,                0.66128,                0.37006,                 1.1094,                 3.5395,                 1.0867,              0.0012387,              0.0012387,              0.0012387
                      5,                  1.297,                 2.9219,                 1.1375,                0.36344,                0.51758,                0.42958,                0.17546,                 1.8593,                 4.9146,                 2.2106,              0.0015196,              0.0015196,              0.0015196
                      6,                 1.6153,                 3.6754,                 1.3431,                0.05112,                    0.2,                0.04019,                0.00585,                 3.0766,                 4.9085,                 4.9204,               0.001502,               0.001502,               0.001502
                      7,                 1.2743,                  3.439,                 1.1176,                0.50438,                  0.125,                0.01162,                0.00534,                 1.4504,                 4.5337,                 1.3232,               0.001502,               0.001502,               0.001502
                      8,                 1.3441,                 3.1871,                  1.172,                0.51999,                0.44235,                0.42304,                0.23404,                 1.4004,                 4.9148,                 1.4029,               0.001469,               0.001469,               0.001469
                      9,                 1.1144,                 2.6761,                 1.0244,                0.50955,                0.99396,                0.54416,                0.41421,                 1.1669,                  8.431,                 1.2428,               0.001436,               0.001436,               0.001436
                     10,                 1.1793,                 2.8477,                 1.0346,                0.70318,                0.68772,                0.79738,                 0.5373,                 1.1955,                 2.6794,                 1.2981,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.3206,                 2.8687,                   1.13,                0.68304,                0.98161,                0.96167,                 0.7501,                0.73004,                  2.117,                 1.0188,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.0732,                 2.2815,                  1.011,                0.96143,                0.88542,                0.97833,                0.75087,                 0.9156,                 2.0097,                 1.0319,              0.0013369,              0.0013369,              0.0013369
